event_id,timestamp,firewall_name,action,direction,protocol,source_ip,source_port,destination_ip,destination_port,bytes_sent,bytes_received,duration_sec,country,alert_flag,rule_triggered
FW-201763,2026-05-01 21:47:44,FW-CORE-01,Block,Inbound,UDP,185.220.101.45,40174,192.168.5.24,3306,433,0,0,North Korea,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200173,2026-05-01 22:10:34,FW-BRANCH-04,Allow,Outbound,HTTP,192.168.2.158,45661,103.119.212.21,80,28538,189866,119,USA,None,ALLOW_OUTBOUND_WEB
FW-200076,2026-05-01 22:30:49,FW-DMZ-03,Allow,Outbound,TCP,192.168.2.245,22342,103.54.198.215,8080,23399,101170,268,USA,None,ALLOW_OUTBOUND_WEB
FW-202048,2026-05-01 22:56:59,FW-CORE-01,Block,Inbound,TCP,222.186.175.12,5015,192.168.2.76,3389,160,103,5,China,RDP_BruteForce,ALERT_RDP_BRUTEFORCE
FW-201871,2026-05-01 23:32:17,FW-DMZ-03,Block,Inbound,TCP,45.33.32.156,58766,192.168.3.219,5432,108,0,0,Romania,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-201130,2026-05-02 00:17:09,FW-CORE-01,Allow,Outbound,DNS,192.168.3.73,28742,103.156.136.64,53,8591,167282,279,USA,None,ALLOW_OUTBOUND_WEB
FW-201036,2026-05-02 01:42:47,FW-BRANCH-04,Allow,Outbound,HTTP,192.168.2.245,26290,103.138.250.28,53,23432,69372,278,UK,None,ALLOW_OUTBOUND_WEB
FW-200457,2026-05-02 01:53:53,FW-EDGE-02,Allow,Outbound,HTTPS,192.168.2.62,23778,103.24.5.216,53,20490,59745,149,USA,None,ALLOW_OUTBOUND_WEB
FW-202172,2026-05-02 02:05:53,FW-DMZ-03,Block,Inbound,UDP,103.138.250.28,52682,192.168.4.50,8443,156,0,0,Brazil,None,BLOCK_INBOUND_DEFAULT
FW-201777,2026-05-02 03:41:08,FW-DMZ-03,Block,Inbound,UDP,185.220.101.45,54579,192.168.3.171,445,95,0,0,Russia,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200817,2026-05-02 04:22:51,FW-EDGE-02,Allow,Outbound,HTTPS,192.168.1.52,39419,103.104.189.36,53,36357,83106,216,India,None,ALLOW_OUTBOUND_WEB
FW-201789,2026-05-02 04:26:11,FW-EDGE-02,Block,Inbound,TCP,194.165.16.72,3237,192.168.1.242,3306,179,0,0,North Korea,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-201722,2026-05-02 05:05:32,FW-BRANCH-04,Block,Inbound,UDP,194.165.16.72,36565,192.168.1.63,445,434,0,0,Romania,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-201805,2026-05-02 06:04:04,FW-DMZ-03,Block,Inbound,UDP,91.191.209.33,59693,192.168.4.247,135,61,0,0,Russia,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-201084,2026-05-02 06:05:30,FW-BRANCH-04,Allow,Outbound,TCP,192.168.1.63,21042,103.193.107.148,53,21457,109855,229,USA,None,ALLOW_OUTBOUND_WEB
FW-200047,2026-05-02 06:31:43,FW-BRANCH-04,Allow,Outbound,DNS,192.168.4.247,25532,103.24.5.216,80,41142,199619,156,India,None,ALLOW_OUTBOUND_WEB
FW-200073,2026-05-02 06:52:14,FW-DMZ-03,Allow,Outbound,HTTP,192.168.5.32,34391,103.100.250.122,53,23718,61739,255,UK,None,ALLOW_OUTBOUND_WEB
FW-201765,2026-05-02 07:46:24,FW-BRANCH-04,Block,Inbound,TCP,194.165.16.72,39631,192.168.1.52,445,469,0,0,Russia,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200744,2026-05-02 07:53:25,FW-EDGE-02,Allow,Outbound,HTTPS,192.168.3.219,8673,103.52.179.144,443,22036,14287,197,UK,None,ALLOW_OUTBOUND_WEB
FW-202065,2026-05-02 08:21:45,FW-DMZ-03,Block,Inbound,TCP,185.220.101.45,48721,192.168.5.32,22,53,185,2,Russia,SSH_BruteForce,ALERT_SSH_BRUTEFORCE
FW-201185,2026-05-02 08:31:51,FW-DMZ-03,Allow,Outbound,HTTPS,192.168.5.215,22814,103.121.53.58,80,4669,87523,260,Singapore,None,ALLOW_OUTBOUND_WEB
FW-201723,2026-05-02 08:33:35,FW-BRANCH-04,Block,Inbound,TCP,103.76.228.12,22866,192.168.4.204,1433,188,0,0,North Korea,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-201717,2026-05-02 08:43:19,FW-CORE-01,Block,Inbound,TCP,103.76.228.12,19716,192.168.3.163,23,476,0,0,Iran,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200110,2026-05-02 09:06:39,FW-DMZ-03,Allow,Outbound,DNS,192.168.1.206,19243,103.23.25.148,443,13519,7578,55,UK,None,ALLOW_OUTBOUND_WEB
FW-201910,2026-05-02 09:18:53,FW-CORE-01,Block,Inbound,UDP,103.76.228.12,12617,192.168.5.86,139,470,0,0,Romania,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200616,2026-05-02 09:32:13,FW-BRANCH-04,Allow,Outbound,HTTPS,192.168.5.101,9119,103.23.171.237,8080,21114,177195,130,UK,None,ALLOW_OUTBOUND_WEB
FW-200079,2026-05-02 09:56:08,FW-CORE-01,Allow,Outbound,DNS,192.168.5.215,28908,103.191.85.218,443,36254,164793,276,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200941,2026-05-02 10:14:23,FW-EDGE-02,Allow,Outbound,HTTP,192.168.2.123,2181,103.136.15.213,80,22025,43638,4,UK,None,ALLOW_OUTBOUND_WEB
FW-200313,2026-05-02 11:49:06,FW-CORE-01,Allow,Outbound,HTTP,192.168.4.204,40578,103.194.232.7,8080,8192,159706,180,USA,None,ALLOW_OUTBOUND_WEB
FW-201111,2026-05-02 12:12:50,FW-CORE-01,Allow,Outbound,DNS,192.168.1.242,18443,103.121.53.58,53,3327,19190,92,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200262,2026-05-02 12:21:28,FW-DMZ-03,Allow,Outbound,HTTP,192.168.5.101,42633,103.199.236.142,53,36386,175481,39,USA,None,ALLOW_OUTBOUND_WEB
FW-200961,2026-05-02 12:31:13,FW-BRANCH-04,Allow,Outbound,TCP,192.168.4.46,34438,103.50.19.21,443,2690,130704,219,USA,None,ALLOW_OUTBOUND_WEB
FW-201123,2026-05-02 13:25:00,FW-CORE-01,Allow,Outbound,HTTP,192.168.5.143,1455,103.162.11.191,443,44980,53840,170,USA,None,ALLOW_OUTBOUND_WEB
FW-200444,2026-05-02 13:38:41,FW-CORE-01,Allow,Outbound,TCP,192.168.1.51,43771,103.111.31.66,80,49781,148534,58,USA,None,ALLOW_OUTBOUND_WEB
FW-200396,2026-05-02 15:17:27,FW-EDGE-02,Allow,Outbound,DNS,192.168.2.31,15557,103.198.250.104,53,17906,101446,279,India,None,ALLOW_OUTBOUND_WEB
FW-201144,2026-05-02 15:30:40,FW-CORE-01,Allow,Outbound,DNS,192.168.5.101,17515,103.138.250.28,443,41255,64230,152,USA,None,ALLOW_OUTBOUND_WEB
FW-202078,2026-05-02 15:55:16,FW-CORE-01,Block,Inbound,TCP,91.191.209.33,31869,192.168.5.32,3389,58,134,0,China,RDP_BruteForce,ALERT_RDP_BRUTEFORCE
FW-200335,2026-05-02 16:04:25,FW-CORE-01,Allow,Outbound,TCP,192.168.1.66,52148,103.177.126.15,443,7843,28977,61,UK,None,ALLOW_OUTBOUND_WEB
FW-201670,2026-05-02 16:10:21,FW-CORE-01,Block,Inbound,UDP,179.43.128.55,65343,192.168.5.143,135,91,0,0,North Korea,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200191,2026-05-02 16:10:35,FW-DMZ-03,Allow,Outbound,DNS,192.168.5.84,24970,103.39.7.13,80,12452,191860,269,UK,None,ALLOW_OUTBOUND_WEB
FW-200959,2026-05-02 17:12:58,FW-CORE-01,Allow,Outbound,TCP,192.168.5.32,29293,103.92.195.254,8080,12700,135625,260,India,None,ALLOW_OUTBOUND_WEB
FW-201966,2026-05-02 17:13:52,FW-DMZ-03,Block,Inbound,TCP,222.186.175.12,61552,192.168.5.86,3389,191,32,2,China,RDP_BruteForce,ALERT_RDP_BRUTEFORCE
FW-200923,2026-05-02 17:36:53,FW-EDGE-02,Allow,Outbound,HTTP,192.168.3.219,23703,103.35.62.67,8080,3401,107217,142,UK,None,ALLOW_OUTBOUND_WEB
FW-201853,2026-05-02 18:00:44,FW-EDGE-02,Block,Inbound,TCP,222.186.175.12,20046,192.168.5.143,5432,319,0,0,China,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200452,2026-05-02 18:56:51,FW-EDGE-02,Allow,Outbound,DNS,192.168.5.101,49548,103.52.179.144,53,11174,27371,37,USA,None,ALLOW_OUTBOUND_WEB
FW-201807,2026-05-02 19:04:43,FW-DMZ-03,Block,Inbound,UDP,194.165.16.72,12257,192.168.3.2,3306,385,0,0,China,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-202053,2026-05-02 22:36:14,FW-CORE-01,Allow,Inbound,TCP,198.199.119.148,44483,192.168.2.76,22,183,74,4,Russia,SSH_BruteForce,ALERT_SSH_BRUTEFORCE
FW-202320,2026-05-02 22:37:24,FW-DMZ-03,Block,Inbound,DNS,103.138.250.28,61661,192.168.2.62,25,273,0,0,Germany,None,BLOCK_INBOUND_DEFAULT
FW-200336,2026-05-02 23:35:26,FW-EDGE-02,Allow,Outbound,TCP,192.168.5.215,3275,103.154.107.126,8080,17335,109797,164,UK,None,ALLOW_OUTBOUND_WEB
FW-200240,2026-05-03 00:33:47,FW-DMZ-03,Allow,Outbound,HTTPS,192.168.3.171,6620,103.57.147.121,8080,49429,130126,116,UK,None,ALLOW_OUTBOUND_WEB
FW-200338,2026-05-03 00:38:14,FW-EDGE-02,Allow,Outbound,HTTP,192.168.4.215,20912,103.92.195.254,53,27353,62645,264,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200916,2026-05-03 01:20:14,FW-DMZ-03,Allow,Outbound,HTTPS,192.168.1.51,28921,103.70.114.161,443,36234,159130,125,India,None,ALLOW_OUTBOUND_WEB
FW-200504,2026-05-03 02:23:42,FW-CORE-01,Allow,Outbound,HTTPS,192.168.2.62,16550,103.136.15.213,53,47849,194115,275,UK,None,ALLOW_OUTBOUND_WEB
FW-201000,2026-05-03 03:18:35,FW-BRANCH-04,Allow,Outbound,DNS,192.168.5.215,12515,103.200.67.137,53,13749,111669,56,UK,None,ALLOW_OUTBOUND_WEB
FW-201088,2026-05-03 03:41:26,FW-EDGE-02,Allow,Outbound,HTTPS,192.168.4.129,42261,103.120.30.222,443,45085,85021,294,USA,None,ALLOW_OUTBOUND_WEB
FW-201903,2026-05-03 04:02:21,FW-EDGE-02,Block,Inbound,UDP,179.43.128.55,38186,192.168.5.24,139,326,0,0,Iran,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200766,2026-05-03 04:40:04,FW-CORE-01,Allow,Outbound,HTTPS,192.168.4.129,9399,103.130.232.145,53,33862,22712,154,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200878,2026-05-03 04:47:04,FW-EDGE-02,Allow,Outbound,HTTP,192.168.3.163,32165,103.138.250.28,443,38241,29797,39,USA,None,ALLOW_OUTBOUND_WEB
FW-202218,2026-05-03 04:47:45,FW-EDGE-02,Block,Inbound,ICMP,103.60.172.129,12461,192.168.1.66,5432,123,0,0,India,None,BLOCK_INBOUND_DEFAULT
FW-200746,2026-05-03 06:18:47,FW-DMZ-03,Allow,Outbound,TCP,192.168.3.144,62760,103.111.31.66,53,35956,8964,92,India,None,ALLOW_OUTBOUND_WEB
FW-200791,2026-05-03 07:33:04,FW-CORE-01,Allow,Outbound,HTTP,192.168.2.245,51844,103.180.3.62,53,41677,160009,78,UK,None,ALLOW_OUTBOUND_WEB
FW-200872,2026-05-03 08:21:58,FW-EDGE-02,Allow,Outbound,TCP,192.168.2.31,37205,103.27.227.219,443,24838,101205,151,India,None,ALLOW_OUTBOUND_WEB
FW-201731,2026-05-03 09:35:58,FW-CORE-01,Block,Inbound,UDP,222.186.175.12,8742,192.168.5.24,5432,225,0,0,Russia,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200987,2026-05-03 09:55:13,FW-BRANCH-04,Allow,Outbound,HTTP,192.168.3.130,36289,103.54.198.215,53,13916,114441,18,UK,None,ALLOW_OUTBOUND_WEB
FW-201699,2026-05-03 11:06:17,FW-BRANCH-04,Block,Inbound,UDP,179.43.128.55,30865,192.168.1.66,445,257,0,0,Romania,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200166,2026-05-03 11:22:12,FW-BRANCH-04,Allow,Outbound,HTTPS,192.168.2.245,59318,103.121.53.58,53,13577,182562,207,India,None,ALLOW_OUTBOUND_WEB
FW-200625,2026-05-03 15:06:53,FW-CORE-01,Allow,Outbound,HTTPS,192.168.5.32,5860,103.92.195.254,80,7938,53701,145,USA,None,ALLOW_OUTBOUND_WEB
FW-202067,2026-05-03 15:10:23,FW-CORE-01,Block,Inbound,TCP,179.43.128.55,51274,192.168.2.158,3389,152,183,4,Romania,RDP_BruteForce,ALERT_RDP_BRUTEFORCE
FW-200870,2026-05-03 17:13:49,FW-BRANCH-04,Allow,Outbound,HTTP,192.168.2.39,49442,103.154.107.126,443,12382,163673,198,UK,None,ALLOW_OUTBOUND_WEB
FW-201991,2026-05-03 18:35:14,FW-DMZ-03,Block,Inbound,TCP,198.199.119.148,16064,192.168.5.84,22,229,101,4,China,SSH_BruteForce,ALERT_SSH_BRUTEFORCE
FW-200421,2026-05-03 19:32:21,FW-EDGE-02,Allow,Outbound,HTTP,192.168.4.131,19849,103.32.90.240,80,11268,100815,190,Singapore,None,ALLOW_OUTBOUND_WEB
FW-202127,2026-05-03 19:54:15,FW-EDGE-02,Block,Inbound,SSH,103.130.232.145,27669,192.168.3.171,3389,355,0,0,India,None,BLOCK_INBOUND_DEFAULT
FW-201029,2026-05-03 20:20:23,FW-EDGE-02,Allow,Outbound,DNS,192.168.1.212,27265,103.100.250.122,443,27762,195768,69,India,None,ALLOW_OUTBOUND_WEB
FW-201010,2026-05-03 20:34:19,FW-EDGE-02,Allow,Outbound,TCP,192.168.1.52,48350,103.136.15.213,80,18001,172151,76,USA,None,ALLOW_OUTBOUND_WEB
FW-200175,2026-05-03 22:13:40,FW-EDGE-02,Allow,Outbound,TCP,192.168.5.32,41380,103.180.3.62,80,14127,133267,71,UK,None,ALLOW_OUTBOUND_WEB
FW-200980,2026-05-03 22:23:22,FW-CORE-01,Allow,Outbound,HTTP,192.168.4.50,41742,103.54.198.215,8080,42665,39876,281,USA,None,ALLOW_OUTBOUND_WEB
FW-202061,2026-05-03 22:28:02,FW-BRANCH-04,Block,Inbound,TCP,103.76.228.12,19191,192.168.3.2,3389,282,93,5,China,RDP_BruteForce,ALERT_RDP_BRUTEFORCE
FW-200345,2026-05-04 00:14:21,FW-DMZ-03,Allow,Outbound,HTTPS,192.168.1.51,63541,103.121.53.58,53,33900,34510,168,UK,None,ALLOW_OUTBOUND_WEB
FW-201684,2026-05-04 00:49:06,FW-BRANCH-04,Block,Inbound,UDP,194.165.16.72,27409,192.168.4.46,1433,414,0,0,Iran,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-202119,2026-05-04 01:09:03,FW-EDGE-02,Allow,Outbound,FTP,192.168.5.48,32597,194.165.16.72,8443,16972557,322,371,Russia,Possible_Data_Exfiltration,ALERT_LARGE_OUTBOUND
FW-200830,2026-05-04 01:30:22,FW-EDGE-02,Allow,Outbound,HTTPS,192.168.2.245,1859,103.32.90.240,8080,7599,27855,178,Singapore,None,ALLOW_OUTBOUND_WEB
FW-202354,2026-05-04 04:32:20,FW-CORE-01,Block,Inbound,UDP,103.130.232.145,50588,192.168.2.144,22,381,0,0,Brazil,None,BLOCK_INBOUND_DEFAULT
FW-200184,2026-05-04 05:18:20,FW-DMZ-03,Allow,Outbound,DNS,192.168.4.50,39642,103.1.16.204,443,20517,162461,43,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200829,2026-05-04 06:36:07,FW-CORE-01,Allow,Outbound,HTTP,192.168.4.215,39509,103.23.25.148,8080,49490,157104,27,UK,None,ALLOW_OUTBOUND_WEB
FW-201647,2026-05-04 07:51:15,FW-CORE-01,Block,Inbound,UDP,222.186.175.12,55864,192.168.5.143,1433,134,0,0,Iran,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200253,2026-05-04 07:53:43,FW-BRANCH-04,Allow,Outbound,DNS,192.168.1.63,53883,103.70.114.161,80,21098,103047,215,USA,None,ALLOW_OUTBOUND_WEB
FW-200233,2026-05-04 08:25:35,FW-EDGE-02,Allow,Outbound,TCP,192.168.5.215,22165,103.23.42.43,80,26407,156712,219,Singapore,None,ALLOW_OUTBOUND_WEB
FW-201089,2026-05-04 08:58:39,FW-CORE-01,Allow,Outbound,HTTP,192.168.4.46,2876,103.4.243.253,8080,17838,50905,255,UK,None,ALLOW_OUTBOUND_WEB
FW-200126,2026-05-04 08:58:55,FW-CORE-01,Allow,Outbound,TCP,192.168.1.212,56959,103.111.31.66,8080,6883,164811,84,USA,None,ALLOW_OUTBOUND_WEB
FW-202026,2026-05-04 09:21:47,FW-BRANCH-04,Block,Inbound,TCP,45.33.32.156,61899,192.168.4.46,22,70,82,5,Russia,SSH_BruteForce,ALERT_SSH_BRUTEFORCE
FW-200536,2026-05-04 09:32:23,FW-CORE-01,Allow,Outbound,TCP,192.168.5.84,15679,103.138.20.26,443,30133,71574,260,India,None,ALLOW_OUTBOUND_WEB
FW-201882,2026-05-04 09:37:10,FW-EDGE-02,Block,Inbound,TCP,185.220.101.45,17842,192.168.4.46,23,110,0,0,Iran,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-201182,2026-05-04 11:17:55,FW-CORE-01,Allow,Outbound,HTTP,192.168.3.163,50629,103.100.250.122,443,39879,78913,193,USA,None,ALLOW_OUTBOUND_WEB
FW-200127,2026-05-04 11:31:53,FW-EDGE-02,Allow,Outbound,DNS,192.168.5.215,7541,103.138.250.28,53,13448,71638,213,USA,None,ALLOW_OUTBOUND_WEB
FW-200031,2026-05-04 11:31:58,FW-DMZ-03,Allow,Outbound,DNS,192.168.1.52,17716,103.138.250.28,80,36906,122875,261,India,None,ALLOW_OUTBOUND_WEB
FW-200445,2026-05-04 12:40:09,FW-EDGE-02,Allow,Outbound,HTTP,192.168.1.85,63371,103.39.7.13,53,31786,99164,20,Singapore,None,ALLOW_OUTBOUND_WEB
FW-202336,2026-05-04 14:29:35,FW-CORE-01,Block,Inbound,RDP,103.194.232.7,51783,192.168.4.215,25,137,0,0,Germany,None,BLOCK_INBOUND_DEFAULT
FW-200334,2026-05-04 16:37:49,FW-EDGE-02,Allow,Outbound,TCP,192.168.1.206,54425,103.111.31.66,53,26674,127967,207,UK,None,ALLOW_OUTBOUND_WEB
FW-200661,2026-05-04 16:45:00,FW-EDGE-02,Allow,Outbound,DNS,192.168.1.51,31638,103.191.85.218,80,36342,104104,114,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200585,2026-05-04 16:58:04,FW-CORE-01,Allow,Outbound,HTTPS,192.168.3.73,11487,103.119.212.21,53,6225,148060,218,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200511,2026-05-04 17:05:36,FW-CORE-01,Allow,Outbound,HTTPS,192.168.5.24,15943,103.167.121.211,53,30425,40061,141,UK,None,ALLOW_OUTBOUND_WEB
FW-200347,2026-05-04 17:18:22,FW-DMZ-03,Allow,Outbound,DNS,192.168.5.86,52345,103.23.25.148,443,39701,55843,276,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200010,2026-05-04 17:21:59,FW-EDGE-02,Allow,Outbound,TCP,192.168.3.144,5592,103.23.171.237,8080,3153,144548,199,India,None,ALLOW_OUTBOUND_WEB
FW-200182,2026-05-04 17:39:06,FW-DMZ-03,Allow,Outbound,HTTP,192.168.2.245,32525,103.35.62.67,53,46314,164155,226,Singapore,None,ALLOW_OUTBOUND_WEB
FW-202281,2026-05-04 17:39:59,FW-BRANCH-04,Block,Inbound,SSH,103.177.126.15,3692,192.168.4.129,80,455,0,0,Japan,None,BLOCK_INBOUND_DEFAULT
FW-202349,2026-05-04 18:18:03,FW-EDGE-02,Block,Inbound,RDP,103.121.53.58,14783,192.168.2.123,3389,151,0,0,USA,None,BLOCK_INBOUND_DEFAULT
FW-200485,2026-05-04 18:45:23,FW-DMZ-03,Allow,Outbound,TCP,192.168.1.63,39356,103.197.206.99,443,42650,115311,134,India,None,ALLOW_OUTBOUND_WEB
FW-201940,2026-05-04 19:31:24,FW-BRANCH-04,Block,Inbound,TCP,185.220.101.45,2306,192.168.2.123,3389,220,59,2,China,RDP_BruteForce,ALERT_RDP_BRUTEFORCE
FW-201875,2026-05-04 20:16:18,FW-CORE-01,Block,Inbound,TCP,45.33.32.156,24639,192.168.2.62,445,374,0,0,China,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200692,2026-05-04 20:18:24,FW-CORE-01,Allow,Outbound,HTTP,192.168.2.62,56972,103.60.172.129,443,10977,27616,163,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200183,2026-05-04 20:47:09,FW-BRANCH-04,Allow,Outbound,TCP,192.168.5.48,2897,103.120.30.222,53,40633,48800,70,USA,None,ALLOW_OUTBOUND_WEB
FW-201162,2026-05-04 21:12:00,FW-DMZ-03,Allow,Outbound,DNS,192.168.1.242,10160,103.1.16.204,80,48353,45367,286,USA,None,ALLOW_OUTBOUND_WEB
FW-200094,2026-05-04 21:39:15,FW-EDGE-02,Allow,Outbound,DNS,192.168.1.51,50102,103.23.25.148,80,43430,184769,139,Singapore,None,ALLOW_OUTBOUND_WEB
FW-202274,2026-05-05 00:53:46,FW-DMZ-03,Block,Inbound,RDP,103.138.20.26,53980,192.168.5.32,21,200,0,0,Japan,None,BLOCK_INBOUND_DEFAULT
FW-200761,2026-05-05 01:46:07,FW-DMZ-03,Allow,Outbound,HTTPS,192.168.5.24,54887,103.92.195.254,8080,31862,94565,141,Singapore,None,ALLOW_OUTBOUND_WEB
FW-201707,2026-05-05 02:19:51,FW-BRANCH-04,Block,Inbound,UDP,198.199.119.148,62932,192.168.1.206,23,477,0,0,Russia,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
